Buchungs_ID;Personen_FS;Land_FS;Ankunft;Abreise
694;1566;138;2019-10-09 00:00:00;2019-10-10 00:00:00
695;1569;0;2019-09-15 00:00:00;2019-09-16 00:00:00
696;1575;0;2019-08-15 00:00:00;1000-01-01 00:00:00
697;423;0;2019-09-01 00:00:00;2019-09-22 00:00:00
698;423;0;2019-09-01 00:00:00;1000-01-01 00:00:00
699;96;186;2019-10-31 00:00:00;2019-11-01 00:00:00
700;96;186;2019-11-01 00:00:00;2019-11-06 00:00:00
701;1608;119;2023-03-27 00:00:00;2023-03-28 00:00:00
702;933;171;2023-07-05 00:00:00;2023-07-07 00:00:00
703;1609;198;2019-10-23 00:00:00;2019-10-24 00:00:00
704;1151;198;2023-10-09 00:00:00;2023-10-14 00:00:00
705;1608;0;1000-01-01 00:00:00;1000-01-01 00:00:00
706;1597;164;2023-07-03 00:00:00;2023-07-04 00:00:00
707;259;186;2023-05-05 00:00:00;2023-05-06 00:00:00
708;1614;198;2023-09-09 00:00:00;2023-09-10 00:00:00
709;1618;0;2019-11-09 00:00:00;2019-11-12 00:00:00
710;1618;0;1000-01-01 00:00:00;1000-01-01 00:00:00
711;1623;115;2019-12-05 00:00:00;2019-12-08 00:00:00
712;1624;198;2023-06-26 00:00:00;2023-06-30 00:00:00
713;709;0;1000-01-01 00:00:00;1000-01-01 00:00:00
714;1151;198;2023-10-09 00:00:00;2023-10-14 00:00:00
715;1151;198;2023-04-10 00:00:00;2023-04-15 00:00:00
716;1630;198;2023-05-15 00:00:00;2023-05-19 00:00:00
717;1634;0;2023-06-08 00:00:00;2023-06-09 00:00:00
718;423;0;2019-12-06 00:00:00;2019-12-09 00:00:00
719;1635;145;2019-12-10 00:00:00;2019-12-13 00:00:00
720;1635;0;1000-01-01 00:00:00;1000-01-01 00:00:00
721;1628;0;2023-08-07 00:00:00;2023-08-10 00:00:00
722;1638;0;2023-03-20 00:00:00;2023-03-22 00:00:00
723;1639;0;2023-08-04 00:00:00;2023-08-09 00:00:00
724;1486;0;2023-08-01 00:00:00;2023-08-03 00:00:00
725;1640;0;2023-04-07 00:00:00;2023-04-09 00:00:00
726;1642;0;2023-06-10 00:00:00;2023-06-12 00:00:00
727;1643;0;2023-06-05 00:00:00;2023-06-06 00:00:00
